date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-01-28 00:00:00+00:00,2026,1,28,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,3567,0,0,0,0,3567,3567,1697,0,0,0,0,1697,1697
2026-01-28 00:00:00+00:00,2026,1,28,port757,Mombasa,Kenya,KEN,0,1,0,0,2,1,3,0,47916,0,0,42814,47916,90731,0,0,0,0,0,0,0
2026-01-27 00:00:00+00:00,2026,1,27,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,4519,0,0,0,0,4519,4519,0,0,0,0,0,0,0
2026-01-27 00:00:00+00:00,2026,1,27,port757,Mombasa,Kenya,KEN,6,1,1,0,0,8,8,67460,17312,0,0,0,84773,84773,1370,0,0,0,0,1370,1370
2026-01-26 00:00:00+00:00,2026,1,26,port631,Lamu,Kenya,KEN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19730,0,0,0,19730,19730
2026-01-26 00:00:00+00:00,2026,1,26,port757,Mombasa,Kenya,KEN,1,1,1,1,2,4,6,13479,34964,2127,1532,111532,52103,163636,0,0,955,0,0,955,955
2026-01-25 00:00:00+00:00,2026,1,25,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-25 00:00:00+00:00,2026,1,25,port757,Mombasa,Kenya,KEN,3,1,0,1,0,5,5,22343,53546,0,0,0,75890,75890,430,0,0,0,0,430,430
2026-01-24 00:00:00+00:00,2026,1,24,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-24 00:00:00+00:00,2026,1,24,port757,Mombasa,Kenya,KEN,2,0,0,0,0,2,2,21263,0,0,0,0,21263,21263,0,0,0,0,0,0,0
2026-01-23 00:00:00+00:00,2026,1,23,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1803,0,0,0,0,1803,1803
2026-01-23 00:00:00+00:00,2026,1,23,port757,Mombasa,Kenya,KEN,1,4,1,0,0,6,6,23783,114529,2127,0,0,140440,140440,0,1327,955,0,0,2283,2283
2026-01-22 00:00:00+00:00,2026,1,22,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-22 00:00:00+00:00,2026,1,22,port757,Mombasa,Kenya,KEN,4,0,1,0,0,5,5,27977,0,2127,0,0,30105,30105,1452,0,955,0,0,2407,2407
2026-01-21 00:00:00+00:00,2026,1,21,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 00:00:00+00:00,2026,1,21,port757,Mombasa,Kenya,KEN,0,1,1,1,1,3,4,0,32882,0,0,15623,32882,48506,0,0,205,0,0,205,205
2026-01-20 00:00:00+00:00,2026,1,20,port631,Lamu,Kenya,KEN,2,0,0,0,0,2,2,1369,0,0,0,0,1369,1369,0,0,0,0,0,0,0
2026-01-20 00:00:00+00:00,2026,1,20,port757,Mombasa,Kenya,KEN,3,0,3,0,1,6,7,13069,0,4675,0,63541,17744,81286,648,0,955,0,0,1604,1604
2026-01-19 00:00:00+00:00,2026,1,19,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-19 00:00:00+00:00,2026,1,19,port757,Mombasa,Kenya,KEN,0,2,2,0,3,4,7,0,19746,2127,0,46369,21874,68243,0,0,1794,0,0,1794,1794
